question,similar_question,expected_tag,predicted_tag,expected_answer,predicted_answer,probability,time_taken
পোস্টাল ভোট দেওয়ার জন্য কোন ধরনের জাতীয় পরিচয়পত্র (NID) গ্রহণযোগ্য?,পোস্টাল ভোট দিতে হলে কোন ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9968699812889099,0.15652894973754883
ডাকযোগে ভোট দিতে কোন কোন ফরম্যাটের এনআইডি কার্ড বৈধ ধরা হয়?,ডাকের মাধ্যমে ভোটের জন্য কোন কোন জাতীয় পরিচয়পত্র কার্ড বৈধ ধরা হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9905868172645569,0.06880784034729004
পোস্টাল ব্যালটে ভোট দিতে কী কী ধরনের NID কার্ড চলে?,পোস্টাল ব্যালটে ভোট দেওয়ার ক্ষেত্রে nid কার্ডের কোন ধরনের গ্রহণযোগ্য,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.987587034702301,0.06261563301086426
ডাকের মাধ্যমে ভোটদানে কোন এনআইডি কার্ড দেখালে গ্রহণ করা হবে?,ডাকের মাধ্যমে ভোট দিতে কোন কোন এনআইডি কার্ড অনুমোদিত,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9897857904434204,0.07103204727172852
পোস্টাল ভোটের ক্ষেত্রে কোন ধরণের জাতীয় পরিচয়পত্র মেনে নেওয়া হয়?,পোস্টাল ভোটের ক্ষেত্রে কোন ধরণের জাতীয় পরিচয়পত্র দেখালে গ্রহণ করা হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.99729323387146,0.07144427299499512
ডাক ভোট দেওয়ার সময় কোন ধরনের NID গ্রহণ করা হয়?,ডাকযোগে ভোটের সময় nid কার্ড হিসেবে কী গ্রহণ করা হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9881635308265686,0.061495065689086914
পোস্টাল ব্যালট ব্যবহারের জন্য কোন NID কার্ডগুলো স্বীকৃত?,পোস্টাল ব্যালটে ভোট দেওয়ার ক্ষেত্রে nid কার্ডের কোন ধরনের গ্রহণযোগ্য,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9880162477493286,0.07238626480102539
ডাকযোগে ভোটের জন্য NID কার্ডের কোন সংস্করণ/প্রকার দরকার?,ডাকযোগে ভোটের জন্য কী ধরনের nid কার্ড লাগবে,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9901698231697083,0.07213163375854492
পোস্টাল ভোটে স্মার্ট কার্ড ও ল্যামিনেটেড NID—দুটোই কি গ্রহণযোগ্য?,পোস্টাল ভোটে nid হিসেবে স্মার্ট এবং ল্যামিনেটেড—দুইটাই কি গ্রহণযোগ্য,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9893984794616699,0.07122659683227539
ডাকের ভোটে কোন কোন রূপের জাতীয় পরিচয়পত্র বৈধ?,ডাকের ভোটে কোন কোন জাতীয় পরিচয়পত্র কার্ড বৈধ হিসেবে গৃহীত হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9904138445854187,0.06028413772583008
