question,similar question,expected tag,predicted tag,time taken
উপজেলা ইসি অফিস কোনো পদক্ষেপ নিচ্ছে না; অভিযোগ কোথায় করব?,উপজেলা ইসি অফিসে কাজ না হলে অভিযোগ কোথায় দাখিল করবো?,new_voter_application_not_submitted_to_upazila_or_thana_office,how_to_complain_not_getting_help_from_election_office,0.6190543174743652
আপনি কি এখন সময় দিতে পারবেন?,আপনি কি বর্তমানে উপলব্ধ?,delayed_question_prompt,greeting_and_request_for_question,0.6031208038330078
পরিচয়পত্রে ভুল হলে দ্রুত সংশোধনের উপায় কী?,পরিচয়পত্রে ভুল তথ্য থাকলে দ্রুত সংশোধনের উপায় কী?,nid_information_misentry_correction_procedure,card_information_correction,0.6568288803100586
নতুন ভোটার হিসেবে আবেদন জমা দেওয়ার সিস্টেমটা কেমন?,নতুন ভোটার হিসেবে ইন্টারনেটে আবেদন জমা দেওয়ার পদ্ধতি বলবেন?,wish_to_create_nid_smart_card_new,online_new_voter_registration,0.6576681137084961
স্লিপ হারিয়ে গিয়ে থাকলে কি সরাসরি অনলাইনে আবেদন করতে পারবো?,স্লিপ হারিয়ে এখন অনলাইনে কীভাবে কাজ এগোব?,voter_slip_lost_how_to_get_nid,form_number_lost_alternative_download,0.6829493045806885
কার অফিস থেকে ডুয়াল সিটিজেনশিপ সনদ মেলে?,ডুয়াল সিটিজেনশিপ সার্টিফিকেট ইস্যুর অফিস কার?,ministry_provide_dual_citizenship_certificate,whom_to_communicate_for_dual_citizenship_certificate,0.7069301605224609
এনআইডি নাম্বার জানা নেই—তবু কি অনলাইনে রি-ইস্যু করা যাবে?,এনআইডি নম্বর ছাড়া অনলাইনে রেজিস্ট্রেশন করে রি-ইস্যু করা যাবে কি?,voter_slip_lost_how_to_get_nid,reissue_no_nid_info_how_to_apply,0.7409801483154297
ভোটার আইডির জন্য অনলাইন নিবন্ধনের ধাপ কী কী?,অনলাইনে ভোটার হিসেবে রেজিস্ট্রেশন করতে হলে কী ধাপ অনুসরণ করতে হয়?,wish_to_create_nid_smart_card_new,online_new_voter_registration,0.6584265232086182
লক হয়ে গেলে কি সিস্টেম নিজে থেকেই আনলক করে দেয়?,এনআইডি লক কি কেবল সিস্টেম-নির্ধারিত সময়ের পরই মুক্ত হয়?,account_locked_retrials,smart_card_chip_functionality_details,0.6929728984832764
"ফেস ভেরিফাই করতে গিয়ে থেমে যায়, এরপর কী করা উচিত?",ফেস ভেরিফিকেশন বারবার আটকে যাচ্ছে—কীভাবে এগোবো?,no_face_verification,present_permanent_address_change_together,0.7408783435821533
আমার কার্ড নিয়ে কোনো নোটিফিকেশন নেই—কাকে জিজ্ঞেস করব?,"আমার জাতীয় পরিচয়পত্রের কার্ডের কোনো খবর নেই, কাকে ধরতে হবে?",not_getting_smart_card_though_newer_voter_getting,photo_done_years_ago_but_no_card,0.7261197566986084
মুখমণ্ডল যাচাইকরণে সফলতা মিলছে না—কিভাবে করবো?,"মুখমণ্ডল যাচাইকরণে আটকে যাচ্ছে, পরের ধাপ আসছে না—কী করা উচিত?",no_face_verification,present_permanent_address_change_together,0.704364538192749
চুরি গেলে এনআইডি পুনঃইস্যুতে টাকা কত?,স্মার্ট আইডি কার্ড চুরি গেলে রি-ইস্যুর জন্য টাকার পরিমাণ কত?,card_lost_and_damaged_cost,card_lost_new_card_fee,0.7271173000335693
স্মার্ট কার্ড হারানোর ক্ষেত্রে কি ডুপ্লিকেট পেতে পারি?,স্মার্ট কার্ড হারিয়েছি—কি স্মার্ট ডুপ্লিকেট পাব না?,smart_card_lost_reissue,smart_card_second_print_not_available,0.6879971027374268
"প্রাপ্তি রসিদ নাই, কীভাবে কার্ড সংগ্রহ করবো?",প্রাপ্তি রসিদ ছাড়া কার্ড সংগ্রহ করতে পারবো কি?,correction_slip_lost_can_get_card,receipt_lost_how_to_get_new_card,0.6904489994049072
অস্থায়ী এবং স্থায়ী ঠিকানা কি এক ধাপে আপডেট করার সুযোগ আছে?,একই পদ্ধতিতে কি বর্তমান ও স্থায়ী ঠিকানা আপডেট করা যায়?,together_present_and_permanent_address_change,migration_personal_attendance_required,0.7334187030792236
"জাতীয় পরিচয়পত্রে নাম/তথ্য ভুল এসেছে, সংশোধন প্রক্রিয়া কী?",জাতীয় পরিচয়পত্রে ত্রুটি থাকলে সংশোধনের ধাপ কী কী?,nid_information_misentry_correction_procedure,card_information_correction,0.7198541164398193
"বিদেশে আছি, ভোটার হওয়ার জন্য কি বাংলাদেশে শারীরিকভাবে উপস্থিত হওয়া লাগবে?","বাংলাদেশের ভোটার আমি, এখন বিদেশে—আবার কি ভোটার তালিকায় যুক্ত হতে হবে?",foreign_resident_card_registration_process,foreign_resident_multiple_registration_new,0.7512919902801514
"সব ঠিকঠাক, ধন্যবাদ।","সব ঠিক আছে, ধন্যবাদ।",closing_statement,request_for_feedback_or_suggestions,0.5877020359039307
রেজিস্ট্রেশন পেইজে ‘অ্যাকাউন্ট লক’—এটা কীভাবে রিসেট করব?,এনআইডি অ্যাকাউন্ট লক হয়েছে—রিসেট করার পদ্ধতি কী?,eight_hours_time_up,account_locked,0.736147403717041
একই প্রক্রিয়ায় কি স্থায়ী ঠিকানা ও বর্তমান ঠিকানা আপডেট করা যাবে?,একই পদ্ধতিতে কি বর্তমান ও স্থায়ী ঠিকানা আপডেট করা যায়?,together_present_and_permanent_address_change,migration_personal_attendance_required,0.726111650466919
এনআইডি তথ্য শুদ্ধিকরণের আবেদন কোথায় জমা দেব?,এনআইডি তথ্য শুদ্ধিকরণের আবেদন কোথায় দাঁড়িয়ে আছে?,card_information_correction,correction_application_current_status,0.6891191005706787
বাতিল হওয়া এডিট আবেদন রিফাইল করতে কি ফি দিতে হবে?,বাতিল হওয়া আবেদনের পুনঃপ্রক্রিয়ায় কি ফি দিতে হবে?,card_correction_request_failed_query_regarding_repayment_fees,correction_application_rejected_need_new_fee,0.6780083179473877
এনআইডি কার্ড হারিয়ে গেলে রি-ইস্যুর নিয়ম কি এখানে জানানো হয়?,রেজিস্ট্রেশন কাগজ হারিয়ে ফেলে দিয়েছি—কার্ড তোলার নিয়ম কী?,service_provided,voter_slip_lost_how_to_get_nid,0.726184606552124
"Match Found দেখিয়ে সাবমিশন রিজেক্ট, করণীয় কী?",নতুন ভোটারের Match Found রিজেকশন উঠাতে কী করতে হবে?,double_voter_registration_issue,match_found_new_voter_no_nid,0.7451798915863037
ঠিকানা পরিবর্তনের পরে কার্ড পুনঃইস্যু কিভাবে করবো?,ঠিকানা পরিবর্তনের পর এনআইডি কার্ড কিভাবে পুনঃইস্যু করাব?,voter_migration_done_now_what_to_do_for_reissue,card_avail_after_address_change,0.7334539890289307
ভোটার ঠিকানা পরিবর্তনের কাজ চলার সময়ে কি ভুল সংশোধন করা যাবে?,ভোটার নিবন্ধনে ঠিকানা ভুল—সংশোধনের জন্য কী প্রক্রিয়া?,voter_area_change_ongoing,abroad_remittance_warrior_label_request,0.7806496620178223
রি-ইস্যু প্রসেস সম্পন্ন না হলে কী করতে হবে?,"রিইস্যু আবেদনের অগ্রগতি নেই, এখন কী করবো?",reissue_apply_why_pending_and_urgent_reissue_seven_days_over,online_application_pending,0.7097523212432861
অনলাইন নতুন ভোটার রেজিস্ট্রেশন শেষে কোন নথিপত্র দাখিল করতে হবে জানাবেন?,অনলাইনে নতুন ভোটার নিবন্ধন সম্পন্ন করার পর কোন কোন নথিপত্র জমা দিতে হবে?,new_voter_apply_online_what_documents_needed,new_voter_online_what_documents_to_submit,0.7138473987579346
