question,tag,answer
ভুল করে ২য় বার ভোটার হয়েছি। জানতে পারলাম Match Found. এখন কি করনীয়?,double_voter_registration_issue,সংশ্লিষ্ট উপজেলা/ থানা নির্বাচন অফিসে যোগাযোগ করুন।
মোবাইলের সিম বা অন্যান্য ক্ষেত্রে ফিঙ্গারপ্রিন্ট দিলে আমার তথ্য আসেনা। কি করনীয়?,fingerprint_error_info_not_found,আপনার ফিঙ্গারপ্রিন্টে সমস্যা থাকলে তা সংশ্লিষ্ট থানা/উপজেলা নির্বাচন অফিসে গিয়ে আপডেট করুন। তবে একাধিকবার প্রচেষ্টা সত্বেও ফিঙ্গারপ্রিন্ট ক্যাপচার না করা গেলে এনআইডি উইং হতে অনাপত্তি পত্র/ প্রত্যয়নপত্র নেয়া যেতে পারে।
ফিঙ্গারপ্রিন্ট আপডেট করতে দিয়ে ধীর্ঘদিন হলো কিন্তু এখনো হচ্ছে না বা Adjudication Pending অবস্থায় আছে। কি করনীয়?,finderprint_adjudication_pending,অনুগ্রহপূর্বক অপেক্ষা করুন। তবে দীর্ঘদিন পেন্ডিং থাকলে আপনি এনআইডি উইং এর কারিগরি অধিশাখায় যোগাযোগ করতে পারেন।
নতুন এনআইডি বা ভোটার আবেদন করেছিলাম কিন্তু এখনো Adjudication Pending অবস্থায় আছে। কি করনীয়?,nid_adjudication_pending,"অনুগ্রহপূর্বক অপেক্ষা করুন। তবে দীর্ঘদিন আবেদন পেন্ডিং থাকলে আপনার অনলাইন জন্ম সনদ, এসএসসি সনদ (যদি থাকে), মাতার এনআইডি কার্ডের কপিসহ এনআইডি উইং এর কারিগরি অধিশাখায় যোগাযোগ করতে পারেন।"
সংশোধনের আবেদন করতে কত টাকা দিতে হবে?,card_correction_fees,"(১) কার্ডে প্রদর্শিত তথ্য ১ম বার সংশোধনের জন্য ২৩০ (ভ্যাটসহ) টাকা, ২য় বার সংশোধনের জন্য ৩৪৫ (ভ্যাটসহ), পরবর্তী প্রতিবারের সংশোধনের জন্য ৪৬০ (ভ্যাটসহ) টাকা (২) কার্ডে অপ্রদর্শিত তথ্য সংশোধনের জন্য ১ম বার ১১৫ (ভ্যাটসহ) টাকা, ২য় বার সংশোধনের জন্য ২৩০ (ভ্যাটসহ) টাকা, পরবর্তী প্রতিবারের সংশোধনের জন্য ৩৪৫ (ভ্যাটসহ) টাকা এনআইডি অনলাইন পোর্টালের মাধ্যমে আপনার নির্দিষ্ট আবেদনের ফী -এর পরিমাণ জানতে ভিজিট করুন services.nidw.gov.bd/nid-pub/fees"
রি-ইস্যু করতে কত টাকা জমা দিতে হয়?,card_reissue_fees,"সাধারণঃ (৩০ কার্যদিবস এর মধ্যে প্রাপ্তি) ১ম বার আবেদনের ক্ষেত্রে ২৩০ (ভ্যাটসহ) টাকা, ২য় বার আবেদনের ক্ষেত্রে ৩৪৫ (ভ্যাটসহ) টাকা, পরবর্তী প্রতিবার আবেদনের ক্ষেত্রে ৫৭৫ (ভ্যাটসহ) টাকা ফিস দিতে হবে। জরুরীঃ (০৭ কার্যদিবস এর মধ্যে প্রাপ্তি) ১ম বার আবেদনের ক্ষেত্রে ৩৪৫ (ভ্যাটসহ) টাকা, ২য় বার আবেদনের ক্ষেত্রে ৫৭৫ (ভ্যাটসহ) টাকা, পরবর্তী প্রতিবার আবেদনের ক্ষেত্রে ১১৫০ (ভ্যাটসহ) টাকা ফিস দিতে হবে।"
এনআইডি সংশোধনের জন্য কিভাবে ফি জমা দিতে হয়?,correction_fee_payment,"অনুমোদিত মোবাইল ব্যাংকিং সেবা (বিকাশ, রকেট, ওকে ওয়ালেট, টি-ক্যাশ, উপায়, মিউচুয়াল ট্রাষ্ট ব্যাংক, ফাষ্ট সিকিউরিটি ইসলামী ব্যাংক, সাউথইষ্ট ব্যাংক, ব্যাংক অফ কমার্স) থেকে নির্ধারিত অপশন এর মাধ্যমে জমা দেওয়া যায়।"
"বিকাশে কিভাবে এনআইডি সংশোধন ফি জমা দিতে হয়?
 ‌",bkash_mfs_payment_process,মোবাইল ব্যাংকিংয়ের মাধ্যমে বিকাশের ক্ষেত্রে “পে বিল” অপশনে গিয়ে “এনআইডি সার্ভিস” অপশন থেকে এনআইডি ফি প্রদান করা যাবে।
রকেটে কিভাবে এনআইডি সংশোধন ফি জমা দিতে হয়?,rocket_mfs_payment_process,মোবাইল ব্যাংকিংয়ের মাধ্যমে রকেটের ক্ষেত্রে “বিল পে” অপশনে গিয়ে “ইসি বাংলাদেশ” অপশন থেকে এনআইডি ফি প্রদান করা যাবে।
স্থায়ী ঠিকানা পরিবর্তন বা সংশোধনের জন্য কতো ফি দিতে হয়?,permanent_address_change_fees,
