question,similar_question,expected_tag,predicted_tag,expected_answer,predicted_answer,probability,time_taken
পোস্টাল ভোট দেওয়ার জন্য কোন ধরনের জাতীয় পরিচয়পত্র (NID) গ্রহণযোগ্য?,পোস্টাল ভোট দিতে হলে কোন ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9968699812889099,0.15725255012512207
ডাকযোগে ভোট দিতে কোন কোন ফরম্যাটের এনআইডি কার্ড বৈধ ধরা হয়?,পোস্টাল ব্যালটে nid হিসেবে স্মার্ট কার্ড আর ল্যামিনেটেড দুটোই কি চলে,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9905868172645569,0.07332944869995117
পোস্টাল ব্যালটে ভোট দিতে কী কী ধরনের NID কার্ড চলে?,ডাকযোগে ভোটের সময় স্মার্ট এনআইডি ও ল্যামিনেটেড দুইটাই কি মান্য,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.987587034702301,0.057297706604003906
ডাকের মাধ্যমে ভোটদানে কোন এনআইডি কার্ড দেখালে গ্রহণ করা হবে?,ডাকের মাধ্যমে ভোট দিতে কোন কোন এনআইডি কার্ড অনুমোদিত,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9897857904434204,0.06997370719909668
পোস্টাল ভোটের ক্ষেত্রে কোন ধরণের জাতীয় পরিচয়পত্র মেনে নেওয়া হয়?,পোস্টাল ভোটের ক্ষেত্রে কোন ধরণের জাতীয় পরিচয়পত্র দেখালে গ্রহণ করা হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.99729323387146,0.07176423072814941
ডাক ভোট দেওয়ার সময় কোন ধরনের NID গ্রহণ করা হয়?,ডাকযোগে ভোটের সময় nid কার্ড হিসেবে কী গ্রহণ করা হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9881635308265686,0.058771610260009766
পোস্টাল ব্যালট ব্যবহারের জন্য কোন NID কার্ডগুলো স্বীকৃত?,ডাকযোগে ভোটের সময় স্মার্ট এনআইডি ও ল্যামিনেটেড দুইটাই কি মান্য,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9880162477493286,0.06907773017883301
ডাকযোগে ভোটের জন্য NID কার্ডের কোন সংস্করণ/প্রকার দরকার?,ডাকযোগে ভোটের জন্য কী ধরনের nid কার্ড লাগবে,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9901698231697083,0.06704950332641602
পোস্টাল ভোটে স্মার্ট কার্ড ও ল্যামিনেটেড NID—দুটোই কি গ্রহণযোগ্য?,পোস্টাল ভোটের ক্ষেত্রে ল্যামিনেটেড কার্ড কি স্মার্ট কার্ডের সমানভাবে বৈধ,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9848576188087463,0.06899213790893555
ডাকের ভোটে কোন কোন রূপের জাতীয় পরিচয়পত্র বৈধ?,ডাকের ভোটে কোন কোন জাতীয় পরিচয়পত্র কার্ড বৈধ হিসেবে গৃহীত হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9904138445854187,0.0599970817565918
পোস্টাল ভোট প্রদানে কী ধরনের এনআইডি দেখাতে হবে যা গ্রহণ করবে?,পোস্টাল ভোট দিতে কি ধরনের এনআইডি কার্ড গ্রহণ করা হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9874836802482605,0.06977105140686035
ডাকমতের ভোটে কোন ধরণের NID কার্ড অনুমোদিত?,পোস্টাল ভোটের জন্য জাতীয় পরিচয়পত্র হিসেবে স্মার্ট ও ল্যামিনেটেড কোনটা লাগবে,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9760696291923523,0.0690155029296875
পোস্টাল ভোটের জন্য NID হিসেবে কোন কোন ধরন মান্য করা হয়?,পোস্টাল ভোটের ক্ষেত্রে কোন ধরণের জাতীয় পরিচয়পত্র দেখালে গ্রহণ করা হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9860658645629883,0.06954002380371094
ডাকযোগে ভোটকালে কোন টাইপের জাতীয় পরিচয়পত্র গ্রহণ করা হয়?,ডাক ভোটে জাতীয় পরিচয়পত্রের কোন ভার্সন গৃহীত হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.985238790512085,0.06842422485351562
পোস্টাল ব্যালটে NID কার্ডের কোন কোন ফর্ম গ্রহণযোগ্য ধরা হয়?,ডাকযোগে ভোটের সময় স্মার্ট এনআইডি ও ল্যামিনেটেড দুইটাই কি মান্য,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.991137683391571,0.06836652755737305
ডাকের মাধ্যমে ভোট দিতে NID-এর কী কী ভ্যারিয়েন্ট চলবে?,ডাক ভোট দিতে এনআইডির কোন ভ্যারিয়েন্ট দরকার,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9779621958732605,0.05909132957458496
পোস্টাল ভোটে কোন NID কার্ড দেখালে বৈধ গণ্য হবে?,পোস্টাল ভোটে কোন ধরনের nid কার্ডকে বৈধ ধরা হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.989199161529541,0.060190439224243164
ডাক ভোটের জন্য কোন শ্রেণির জাতীয় পরিচয়পত্র গ্রহণযোগ্য?,ডাকের ভোটে কোন কোন জাতীয় পরিচয়পত্র কার্ড বৈধ হিসেবে গৃহীত হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9761908054351807,0.06887340545654297
পোস্টাল ভোট দেওয়ার ক্ষেত্রে ল্যামিনেটেড আর স্মার্ট—উভয় NID কি চলবে?,পোস্টাল ভোট দিতে কি স্মার্ট এনআইডিই দেখাতে হবে নাকি ল্যামিনেটেডটাও হবে,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9806294441223145,0.06866717338562012
ডাকযোগে ভোটের সময় কোন ধরণের এনআইডি কার্ড গ্রহণযোগ্য থাকে?,ডাকযোগে ভোটের সময় এনআইডি হিসেবে কোন কার্ড মান্য করা হয়,accepted_nid_types,accepted_nid_types,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9910939335823059,0.06949567794799805
আমার এনআইডি অনলাইন পোর্টালের অ্যাকাউন্ট লক হয়ে গেছে—এটা আনলক করতে কী করতে হবে?,এনআইডি ওয়েবসাইটে আমার অ্যাকাউন্টে লক পড়ে গেছে; কীভাবে আনলক করব,account_locked,account_locked,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্টটি লক হয়ে যায়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।,"ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্টটি লক হয়ে যায়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন। 

আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?",0.9927720427513123,0.07187080383300781
