
╔════════════════════════════════════════════════════════════════════════════════════════════════╗
║                                    📊 TAG PREDICTION ANALYSIS                                   ║
╠════════════════════════════════════════════════════════════════════════════════════════════════╣
║  Generated: 2026-01-27 15:27:04                                                                ║
║  Sorted by: Accuracy (lowest to highest)                                                       ║
║  Total predictions: 8720 | Right: 7988 | Wrong: 732 | Overall Accuracy: 91.61%                 ║
╠════════════════════════════════════════════════════════════════════════════════════════════════╣
║  #   │                   Tag Name                    │  Right   │  Wrong   │  Total   │ Accuracy  ║
╠════════════════════════════════════════════════════════════════════════════════════════════════╣
║    1 │ present_adress_update                         │        0 │       20 │       20 │    0.00% ✗ ║
║    2 │ correction_application_rejected_need_new_fee  │        5 │       15 │       20 │   25.00% ✗ ║
║    3 │ smart_card_fee                                │        5 │       15 │       20 │   25.00% ✗ ║
║    4 │ new_voter_apply_online_what_documents_needed  │        6 │       14 │       20 │   30.00% ✗ ║
║    5 │ new_voter_online_what_documents_to_submit     │        6 │       14 │       20 │   30.00% ✗ ║
║    6 │ vote_tracking_definition                      │        7 │       13 │       20 │   35.00% ✗ ║
║    7 │ nid_afis_04                                   │        8 │       12 │       20 │   40.00% ✗ ║
║    8 │ post_registration_password_reset              │        8 │       12 │       20 │   40.00% ✗ ║
║    9 │ registration_start_country_select             │        8 │       12 │       20 │   40.00% ✗ ║
║   10 │ nid_missing_fingerprint_sim_issue_01          │        9 │       11 │       20 │   45.00% ✗ ║
║   11 │ nid_probashi_registration_04                  │        9 │       11 │       20 │   45.00% ✗ ║
║   12 │ correction_application_status                 │       10 │       10 │       20 │   50.00% ✗ ║
║   13 │ help_center_definition                        │       10 │       10 │       20 │   50.00% ✗ ║
║   14 │ notification_screen_info                      │       10 │       10 │       20 │   50.00% ✗ ║
║   15 │ forgot_password_flow                          │       11 │        9 │       20 │   55.00% ✗ ║
║   16 │ help_center_contents                          │       11 │        9 │       20 │   55.00% ✗ ║
║   17 │ new_nid_card_age                              │       11 │        9 │       20 │   55.00% ✗ ║
║   18 │ nid_reissue_07                                │       11 │        9 │       20 │   55.00% ✗ ║
║   19 │ smart_card_collection_fees                    │       11 │        9 │       20 │   55.00% ✗ ║
║   20 │ age_and_dob_correction                        │       12 │        8 │       20 │   60.00% ✗ ║
║   21 │ card_correction_request_failed_query_regard.. │       12 │        8 │       20 │   60.00% ✗ ║
║   22 │ card_information_correction                   │       12 │        8 │       20 │   60.00% ✗ ║
║   23 │ card_lost_and_damaged_cost                    │       12 │        8 │       20 │   60.00% ✗ ║
║   24 │ card_lost_new_card_fee                        │       12 │        8 │       20 │   60.00% ✗ ║
║   25 │ nid_correction_category_approver_07           │       12 │        8 │       20 │   60.00% ✗ ║
║   26 │ smart_card_lost_how_to_get_new_one_again      │       12 │        8 │       20 │   60.00% ✗ ║
║   27 │ wish_to_create_nid_smart_card_new             │       12 │        8 │       20 │   60.00% ✗ ║
║   28 │ bkash_mfs_payment_process                     │       13 │        7 │       20 │   65.00% ✗ ║
║   29 │ fingerprint_error_info_not_found              │       13 │        7 │       20 │   65.00% ✗ ║
║   30 │ nid_fee_04                                    │       13 │        7 │       20 │   65.00% ✗ ║
║   31 │ nid_probashi_smart_card_03                    │       13 │        7 │       20 │   65.00% ✗ ║
║   32 │ nid_probashi_smart_card_06                    │       13 │        7 │       20 │   65.00% ✗ ║
║   33 │ smart_card_status                             │       13 │        7 │       20 │   65.00% ✗ ║
║   34 │ tracking_status_meaning                       │       13 │        7 │       20 │   65.00% ✗ ║
║   35 │ card_correction_request_failed_query_regard.. │       14 │        6 │       20 │   70.00% ~ ║
║   36 │ card_damaged_how_to_get_new_card              │       14 │        6 │       20 │   70.00% ~ ║
║   37 │ card_lost_no_info_how_to_get_new              │       14 │        6 │       20 │   70.00% ~ ║
║   38 │ help_center_access                            │       14 │        6 │       20 │   70.00% ~ ║
║   39 │ new_voter_no_messages_from_upzila_or_thana    │       14 │        6 │       20 │   70.00% ~ ║
