
╔════════════════════════════════════════════════════════════════════════════════════════════════╗
║                                    📊 TAG PREDICTION ANALYSIS                                   ║
╠════════════════════════════════════════════════════════════════════════════════════════════════╣
║  Generated: 2026-01-29 16:43:40                                                                ║
║  Sorted by: Accuracy (lowest to highest)                                                       ║
║  Total predictions: 8720 | Right: 8235 | Wrong: 485 | Overall Accuracy: 94.44%                 ║
╠════════════════════════════════════════════════════════════════════════════════════════════════╣
║  #   │                   Tag Name                    │  Right   │  Wrong   │  Total   │ Accuracy  ║
╠════════════════════════════════════════════════════════════════════════════════════════════════╣
║    1 │ nid_missing_fingerprint_sim_issue_01          │        5 │       15 │       20 │   25.00% ✗ ║
║    2 │ card_correction_request_failed_query_regard.. │        7 │       13 │       20 │   35.00% ✗ ║
║    3 │ new_voter_online_what_documents_to_submit     │        9 │       11 │       20 │   45.00% ✗ ║
║    4 │ tracking_status_meaning                       │        9 │       11 │       20 │   45.00% ✗ ║
║    5 │ vote_tracking_definition                      │        9 │       11 │       20 │   45.00% ✗ ║
║    6 │ nid_afis_04                                   │       10 │       10 │       20 │   50.00% ✗ ║
║    7 │ smart_card_fee                                │       10 │       10 │       20 │   50.00% ✗ ║
║    8 │ nid_afis_01                                   │       11 │        9 │       20 │   55.00% ✗ ║
║    9 │ help_center_contents                          │       12 │        8 │       20 │   60.00% ✗ ║
║   10 │ nid_probashi_registration_04                  │       12 │        8 │       20 │   60.00% ✗ ║
║   11 │ age_and_dob_correction                        │       13 │        7 │       20 │   65.00% ✗ ║
║   12 │ card_damaged_how_to_get_new_card              │       13 │        7 │       20 │   65.00% ✗ ║
║   13 │ new_voter_apply_online_what_documents_needed  │       13 │        7 │       20 │   65.00% ✗ ║
║   14 │ nid_probashi_smart_card_03                    │       13 │        7 │       20 │   65.00% ✗ ║
║   15 │ nid_reissue_07                                │       13 │        7 │       20 │   65.00% ✗ ║
║   16 │ present_address_change_procedure              │       13 │        7 │       20 │   65.00% ✗ ║
║   17 │ smart_card_lost_how_to_get_new_one_again      │       13 │        7 │       20 │   65.00% ✗ ║
║   18 │ card_correction_request_failed_query_regard.. │       14 │        6 │       20 │   70.00% ~ ║
