
╔════════════════════════════════════════════════════════════════════════════════════════════════╗
║                                    📊 TAG PREDICTION ANALYSIS                                   ║
╠════════════════════════════════════════════════════════════════════════════════════════════════╣
║  Generated: 2026-01-27 14:35:05                                                                ║
║  Sorted by: Accuracy (lowest to highest)                                                       ║
║  Total predictions: 8720 | Right: 7789 | Wrong: 931 | Overall Accuracy: 89.32%                 ║
╠════════════════════════════════════════════════════════════════════════════════════════════════╣
║  #   │                   Tag Name                    │  Right   │  Wrong   │  Total   │ Accuracy  ║
╠════════════════════════════════════════════════════════════════════════════════════════════════╣
║    1 │ present_adress_update                         │        0 │       20 │       20 │    0.00% ✗ ║
║    2 │ new_voter_online_what_documents_to_submit     │        3 │       17 │       20 │   15.00% ✗ ║
║    3 │ smart_card_fee                                │        3 │       17 │       20 │   15.00% ✗ ║
║    4 │ age_and_dob_correction                        │        5 │       15 │       20 │   25.00% ✗ ║
║    5 │ nid_afis_04                                   │        5 │       15 │       20 │   25.00% ✗ ║
║    6 │ registration_start_country_select             │        6 │       14 │       20 │   30.00% ✗ ║
║    7 │ nid_reissue_07                                │        7 │       13 │       20 │   35.00% ✗ ║
║    8 │ correction_application_rejected_need_new_fee  │        9 │       11 │       20 │   45.00% ✗ ║
║    9 │ nid_information_misentry_correction_procedure │        9 │       11 │       20 │   45.00% ✗ ║
║   10 │ nid_missing_fingerprint_sim_issue_01          │        9 │       11 │       20 │   45.00% ✗ ║
║   11 │ nid_probashi_registration_04                  │        9 │       11 │       20 │   45.00% ✗ ║
║   12 │ smart_card_lost_how_to_get_new_one_again      │        9 │       11 │       20 │   45.00% ✗ ║
║   13 │ vote_tracking_definition                      │        9 │       11 │       20 │   45.00% ✗ ║
║   14 │ card_information_correction                   │       10 │       10 │       20 │   50.00% ✗ ║
║   15 │ educational_qualification_correction          │       10 │       10 │       20 │   50.00% ✗ ║
║   16 │ help_center_definition                        │       10 │       10 │       20 │   50.00% ✗ ║
║   17 │ nid_correction_category_approver_07           │       10 │       10 │       20 │   50.00% ✗ ║
║   18 │ nid_reissue_01                                │       10 │       10 │       20 │   50.00% ✗ ║
║   19 │ notification_screen_info                      │       10 │       10 │       20 │   50.00% ✗ ║
║   20 │ voter_migration_done_now_what_to_do_for_rei.. │       10 │       10 │       20 │   50.00% ✗ ║
║   21 │ wish_to_create_nid_smart_card_new             │       10 │       10 │       20 │   50.00% ✗ ║
║   22 │ card_correction_request_failed_query_regard.. │       11 │        9 │       20 │   55.00% ✗ ║
║   23 │ card_damaged_how_to_get_new_card              │       11 │        9 │       20 │   55.00% ✗ ║
║   24 │ correction_application_current_status         │       11 │        9 │       20 │   55.00% ✗ ║
║   25 │ nid_probashi_smart_card_06                    │       11 │        9 │       20 │   55.00% ✗ ║
║   26 │ nid_probashi_smart_card_08                    │       11 │        9 │       20 │   55.00% ✗ ║
║   27 │ card_lost_and_damaged_cost                    │       12 │        8 │       20 │   60.00% ✗ ║
║   28 │ help_center_access                            │       12 │        8 │       20 │   60.00% ✗ ║
║   29 │ new_nid_card_age                              │       12 │        8 │       20 │   60.00% ✗ ║
║   30 │ new_voter_card_not_taken_has_form_no_can_no.. │       12 │        8 │       20 │   60.00% ✗ ║
║   31 │ nid_match_found_verification_failed_how_to_.. │       12 │        8 │       20 │   60.00% ✗ ║
║   32 │ photo_done_years_ago_but_no_card              │       12 │        8 │       20 │   60.00% ✗ ║
║   33 │ smart_card_collection_fees                    │       12 │        8 │       20 │   60.00% ✗ ║
║   34 │ correction_slip_lost_can_get_card             │       13 │        7 │       20 │   65.00% ✗ ║
║   35 │ double_voter_registration_issue               │       13 │        7 │       20 │   65.00% ✗ ║
║   36 │ forgot_password_flow                          │       13 │        7 │       20 │   65.00% ✗ ║
║   37 │ help_center_contents                          │       13 │        7 │       20 │   65.00% ✗ ║
║   38 │ nid_probashi_smart_card_03                    │       13 │        7 │       20 │   65.00% ✗ ║
║   39 │ no_android_phone                              │       13 │        7 │       20 │   65.00% ✗ ║
