question,tag,answer
অ্যাকাউন্ট লক সংক্রান্ত সমস্যার সমাধান কীভাবে পাব?,account_locked,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্টটি লক হয়ে যায়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
"একাধিকবার ভুল তথ্য দেওয়ার পর আমার আইডি অ্যাকাউন্ট লক হয়েছে, কীভাবে খুলব?",account_locked,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্টটি লক হয়ে যায়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
এনআইডি অ্যাকাউন্ট লক হয়েছে—রিসেট করার পদ্ধতি কী?,account_locked,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্টটি লক হয়ে যায়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
এনআইডি ওয়েব পোর্টালে লক এসেছে—এই সমস্যার করণীয় কী?,account_locked,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্টটি লক হয়ে যায়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
এনআইডি পোর্টালে অ্যাকাউন্ট ব্লকড; কীভাবে পুনঃসক্রিয় করবো?,account_locked,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্টটি লক হয়ে যায়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
এনআইডি পোর্টালে লকড দেখালে কীভাবে পুনরায় চেষ্টা করব?,account_locked,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্টটি লক হয়ে যায়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
এনআইডি পোর্টালে “অ্যাকাউন্টটি লক করা” দেখালে কি করতে হবে?,account_locked,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্টটি লক হয়ে যায়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
অ্যাকাউন্ট লক থাকায় লগইন ব্যর্থ হচ্ছে; আনলকের জন্য কতক্ষণ অপেক্ষা করতে হবে?,account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
"অ্যাকাউন্ট লকড অবস্থায় আছে; ঠিক তথ্য দিয়ে লগইন করলেও ঢুকতে পারছি না, কীভাবে সমাধান হবে?",account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
আমার অ্যাকাউন্ট সাময়িকভাবে লক—কতক্ষণ পর এটা নিজেই খুলবে?,account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
একাউন্ট লক হয়ে গেছে—সম্ভবত ভুল চেষ্টা বেশি হয়েছে; এখন কী করবো?,account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
লক হওয়ার পরই বা কেন সঠিক তথ্যেও লগইন হচ্ছে না? সমাধান কী?,account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
লক হওয়া এনআইডি অ্যাকাউন্ট কি নির্দিষ্ট সময় পর নিজে থেকে খুলে যায়?,account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
লকড অ্যাকাউন্টে OTP ঠিক দিলেও ঢুকতে পারছি না—উপায় কী?,account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
লকড একাউন্ট আনলক করার জন্য কি অপেক্ষা করা ছাড়া উপায় নেই?,account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
লকড এনআইডি অ্যাকাউন্ট আনলক কি নির্দিষ্ট সময় পরেই হয়?,account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
লকড এনআইডি অ্যাকাউন্ট—কবে লগইন করা যাবে?,account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
লগইন লকড; ঠিক পাসওয়ার্ড দেওয়ার পরও হচ্ছে না—এখন কীভাবে এগোবো?,account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
"ভোটার তথ্যের ঠিকানা আপডেটে পোস্ট অফিস নাম/কোড দেখাচ্ছে না, কী করা উচিত?",address_cahgne_but_no_post_office_or_office_code,এক্ষেত্রে সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করুন।
"আমি নতুন ঠিকানায় চলে গেছি, কার্ড অনলাইনে পেতে চাই—কিভাবে?",address_change_card_download_process,ভোটার এলাকা পরিবর্তন হলে জাতীয় পরিচয় পত্র প্রদান করা হয় না। তবে নতুন ঠিকানায় এনআইডি কার্ড পেতে নির্ধারিত ফি প্রদান করে অনলাইনে রি-ইস্যুর আবেদন করতে হবে।
ঠিকানা ট্রান্সফারের পর e-NID পাওয়া যাচ্ছে না—কী করবো?,address_change_card_download_process,ভোটার এলাকা পরিবর্তন হলে জাতীয় পরিচয় পত্র প্রদান করা হয় না। তবে নতুন ঠিকানায় এনআইডি কার্ড পেতে নির্ধারিত ফি প্রদান করে অনলাইনে রি-ইস্যুর আবেদন করতে হবে।
নতুন ঠিকানায় অনলাইনে কার্ড নিতে গেলে অপশন আসে না—কেন?,address_change_card_download_process,ভোটার এলাকা পরিবর্তন হলে জাতীয় পরিচয় পত্র প্রদান করা হয় না। তবে নতুন ঠিকানায় এনআইডি কার্ড পেতে নির্ধারিত ফি প্রদান করে অনলাইনে রি-ইস্যুর আবেদন করতে হবে।
অনলাইনের মাধ্যমে ঠিকানা সংশোধন করা যাবে কি?,address_change_online_new,"হ্যাঁ, করা যাবে। তবে ঠিকানা পরিবর্তনের কারণে যদি ভোটার এলাকা পরিবর্তন হয় সেক্ষেত্রে সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে স্বশরীরে উপস্থিত হয়ে আবেদন করতে হবে।"
অনলাইনের মাধ্যমে স্থায়ী/বর্তমান ঠিকানা পরিবর্তন করা যাবে কি?,address_change_online_new,"হ্যাঁ, করা যাবে। তবে ঠিকানা পরিবর্তনের কারণে যদি ভোটার এলাকা পরিবর্তন হয় সেক্ষেত্রে সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে স্বশরীরে উপস্থিত হয়ে আবেদন করতে হবে।"
আমি কি অনলাইনে এনআইডির ঠিকানা বদলের ফর্ম পূরণ করতে পারি?,address_change_online_new,"হ্যাঁ, করা যাবে। তবে ঠিকানা পরিবর্তনের কারণে যদি ভোটার এলাকা পরিবর্তন হয় সেক্ষেত্রে সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে স্বশরীরে উপস্থিত হয়ে আবেদন করতে হবে।"
"আমার ভোটার আইডিতে জন্মতারিখ ভুল এসেছে, কোন পেপারস দিয়ে ঠিক করব?",age_and_dob_correction,"আপনার শিক্ষাগত যোগ্যতা এসএসসি বা তার উর্দ্ধে হলে এসএসসি সনদ, অন্যান্য ক্ষেত্রে পি.ই.সি অথবা জেএসসি সনদ, অনলাইন জন্ম সনদ দাখিলপূর্বক অনলাইনে আবেদন করুন। তবে উল্লেখ্য যে, বিশেষ ক্ষেত্রে কর্তৃপক্ষ অন্যান্য ডকুমেন্টস চাইতে পারেন।"
এনআইডি আপডেটে জন্মতারিখ ঠিক করতে অনলাইন পোর্টালে কীভাবে যাব?,age_and_dob_correction,"আপনার শিক্ষাগত যোগ্যতা এসএসসি বা তার উর্দ্ধে হলে এসএসসি সনদ, অন্যান্য ক্ষেত্রে পি.ই.সি অথবা জেএসসি সনদ, অনলাইন জন্ম সনদ দাখিলপূর্বক অনলাইনে আবেদন করুন। তবে উল্লেখ্য যে, বিশেষ ক্ষেত্রে কর্তৃপক্ষ অন্যান্য ডকুমেন্টস চাইতে পারেন।"
এনআইডিতে জন্ম তারিখ ঠিক করার জন্য কোনো নির্দিষ্ট ফরম লাগে?,age_and_dob_correction,"আপনার শিক্ষাগত যোগ্যতা এসএসসি বা তার উর্দ্ধে হলে এসএসসি সনদ, অন্যান্য ক্ষেত্রে পি.ই.সি অথবা জেএসসি সনদ, অনলাইন জন্ম সনদ দাখিলপূর্বক অনলাইনে আবেদন করুন। তবে উল্লেখ্য যে, বিশেষ ক্ষেত্রে কর্তৃপক্ষ অন্যান্য ডকুমেন্টস চাইতে পারেন।"
এনআইডিতে জন্ম তারিখের ত্রুটি সত্যায়িত করতে কোন সার্টিফিকেট দরকার?,age_and_dob_correction,"আপনার শিক্ষাগত যোগ্যতা এসএসসি বা তার উর্দ্ধে হলে এসএসসি সনদ, অন্যান্য ক্ষেত্রে পি.ই.সি অথবা জেএসসি সনদ, অনলাইন জন্ম সনদ দাখিলপূর্বক অনলাইনে আবেদন করুন। তবে উল্লেখ্য যে, বিশেষ ক্ষেত্রে কর্তৃপক্ষ অন্যান্য ডকুমেন্টস চাইতে পারেন।"
